Date: 2010-03-17, Open: 5198.45, High: 5260.5, Low: 5177.15, SMA20: 5022.94, SMA50: 5028.95, RSI14: 91.46, Return: 0.65%, Output: Up
Date: 2010-03-18, Open: 5232.55, High: 5255.65, Low: 5214.4, SMA20: 5039.54, SMA50: 5029.23, RSI14: 91.7, Return: 0.27%, Output: Up
Date: 2010-03-19, Open: 5246.8, High: 5269.95, Low: 5237.1, SMA20: 5058.29, SMA50: 5028.92, RSI14: 90.79, Return: 0.32%, Output: Down
Date: 2010-03-22, Open: 5260.95, High: 5260.95, Low: 5187.05, SMA20: 5076.3, SMA50: 5027.39, RSI14: 74.74, Return: -1.09%, Output: Up
Date: 2010-03-23, Open: 5205.85, High: 5243.6, Low: 5193.4, SMA20: 5094.75, SMA50: 5026.64, RSI14: 70.83, Return: 0.39%, Output: Up
Date: 2010-03-25, Open: 5225.3, High: 5267.3, Low: 5202.95, SMA20: 5114.27, SMA50: 5026.95, RSI14: 75.26, Return: 0.67%, Output: Up
Date: 2010-03-26, Open: 5260.55, High: 5293.75, Low: 5260.55, SMA20: 5135.44, SMA50: 5027.6, RSI14: 76.14, Return: 0.41%, Output: Up
Date: 2010-03-29, Open: 5283.9, High: 5329.55, Low: 5242.15, SMA20: 5157.59, SMA50: 5029.45, RSI14: 75.17, Return: 0.39%, Output: Down
Date: 2010-03-30, Open: 5302.95, High: 5325.0, Low: 5251.35, SMA20: 5174.6, SMA50: 5030.02, RSI14: 71.57, Return: -0.76%, Output: Down
Date: 2010-03-31, Open: 5260.4, High: 5293.9, Low: 5235.15, SMA20: 5186.21, SMA50: 5029.8, RSI14: 67.87, Return: -0.25%, Output: Up
Date: 2010-04-01, Open: 5249.2, High: 5298.6, Low: 5249.2, SMA20: 5196.32, SMA50: 5030.57, RSI14: 69.84, Return: 0.79%, Output: Up
Date: 2010-04-05, Open: 5291.4, High: 5377.55, Low: 5291.4, SMA20: 5210.73, SMA50: 5032.44, RSI14: 74.6, Return: 1.47%, Output: Down
Date: 2010-04-06, Open: 5369.65, High: 5388.65, Low: 5351.7, SMA20: 5224.6, SMA50: 5035.25, RSI14: 75.52, Return: -0.04%, Output: Up
Date: 2010-04-07, Open: 5365.7, High: 5399.65, Low: 5345.05, SMA20: 5237.13, SMA50: 5038.31, RSI14: 71.85, Return: 0.16%, Output: Down
